Компания,Индустрия,Формат раздела,Надежность данных,Уровень зрелости,Соблюдать антимонопольное законодательство [базовый] (P01),Не вступать в ценовые соглашения [усиливающий] (P02),Не делить рынки и клиентов [усиливающий] (P03),Не участвовать в сговоре при тендерах [усиливающий] (P04),Не обмениваться чувствительной информацией с конкурентами [усиливающий] (P05),Контролировать контакты с конкурентами [усиливающий] (P06),Не получать информацию о конкурентах незаконным путем [продвинутый] (P07),Уважать конфиденциальную информацию конкурентов [продвинутый] (P08),Конкурировать добросовестно [базовый] (P09),Обращаться в юридический/комплаенс-отдел при рисках [усиливающий] (P10),Сообщать о нарушениях и подозрительных ситуациях [усиливающий] (P11),Соблюдать внутренние процедуры контроля и документирования [продвинутый] (P12),Итого принципов
Toyota Motor,автопром,Распределенные положения,Средняя,Зрелый,1,1,1,1,1,0,0,0,1,0,0,0,6
Nissan Motor,автопром,Распределенные положения,Средняя,Функциональный,1,0,0,0,0,0,0,0,1,0,1,0,3
Suzuki Motor,автопром,Распределенные положения,Средняя,Функциональный,1,0,0,0,0,0,0,1,0,0,1,0,3
Honda Motor,автопром,Выделенный раздел,Средняя,Минимальный,1,0,0,0,0,0,0,0,1,0,0,0,2
MUFG Group,банкинг,Выделенный раздел,Высокая,Функциональный,1,1,1,0,0,0,0,0,0,0,0,1,4
Sumitomo Mitsui Trust Group,банкинг,Краткое упоминание,Средняя,Функциональный,1,0,0,0,0,0,0,0,1,0,1,1,4
Sumitomo Mitsui Financial Group,банкинг,Распределенные положения,Средняя,Функциональный,1,1,0,0,0,0,0,0,0,1,0,0,3
Tokio Marine,страхование,Выделенный раздел,Высокая,Функциональный,1,1,0,0,0,1,0,0,1,0,0,0,4
Dai-ichi Life Holdings,страхование,Краткое упоминание,Средняя,Минимальный,1,1,0,0,0,0,0,0,0,0,0,0,2
Penta-Ocean Construction,строительство,Краткое упоминание,Средняя,Функциональный,1,0,0,0,0,0,0,0,1,0,1,1,4
Takenaka Corporation,строительство,Распределенные положения,Высокая,Функциональный,1,1,0,1,0,0,0,0,1,0,0,0,4
JGC Holdings,строительство,Выделенный раздел,Высокая,Функциональный,1,0,0,0,0,1,0,0,1,0,0,0,3
Kajima Corporation,строительство,Выделенный раздел,Высокая,Функциональный,1,0,0,1,0,0,0,0,1,0,0,0,3
Shimizu Corporation,строительство,Выделенный раздел,Высокая,Функциональный,1,0,0,1,0,0,0,0,1,0,0,0,3
Internet Initiative Japan,телеком,Распределенные положения,Средняя,Функциональный,1,0,0,0,0,0,1,1,1,0,1,0,5
NTT DOCOMO,телеком,Выделенный раздел,Средняя,Функциональный,1,0,0,0,0,0,0,0,1,0,1,0,3
Sumitomo Corporation,торговые дома,Выделенный раздел,Высокая,Функциональный,1,1,1,1,1,0,0,0,0,0,0,0,5
Marubeni Corporation,торговые дома,Выделенный раздел,Высокая,Функциональный,1,1,0,0,1,0,0,0,1,0,0,0,4
Mitsui & Co,торговые дома,Выделенный раздел,Средняя,Функциональный,1,0,0,0,0,0,0,0,1,0,1,0,3
ITOCHU,торговые дома,Краткое упоминание,Средняя,Минимальный,1,0,0,0,0,0,0,0,0,0,1,0,2
Kawasaki Kisen Kaisha,транспорт,Краткое упоминание,Средняя,Функциональный,1,1,0,0,0,0,0,0,1,0,1,1,5
Yamato Holdings,транспорт,Распределенные положения,Высокая,Функциональный,1,1,1,0,1,0,0,0,1,0,0,0,5
Japan Airlines,транспорт,Краткое упоминание,Средняя,Функциональный,1,0,0,0,0,0,0,0,1,1,1,0,4
Mitsui O.S.K. Lines,транспорт,Краткое упоминание,Средняя,Функциональный,1,0,0,0,0,0,0,0,1,0,1,0,3
Astellas Pharma Inc,фармацевтика,Распределенные положения,Высокая,Зрелый,1,1,0,0,1,1,1,0,1,1,1,0,8
Otsuka Holdings Co,фармацевтика,Распределенные положения,Средняя,Функциональный,1,1,1,0,0,0,0,0,1,0,1,0,5
Eisai Co,фармацевтика,Выделенный раздел,Высокая,Функциональный,1,1,0,0,0,0,0,0,1,0,0,0,3
Daiichi Sankyo Co,фармацевтика,Выделенный раздел,Средняя,Минимальный,1,0,0,0,0,0,0,0,1,0,0,0,2
"Hitachi, Ltd",электроника,Выделенный раздел,Высокая,Зрелый,1,1,1,1,1,1,1,1,1,1,1,0,11
Sony Group,электроника,Выделенный раздел,Высокая,Зрелый,1,1,0,0,1,0,0,0,1,1,1,0,6
NEC Corporation,электроника,Распределенные положения,Средняя,Функциональный,1,1,0,0,0,0,0,0,1,0,1,0,4
Panasonic,электроника,Выделенный раздел,Высокая,Функциональный,1,1,0,1,0,0,0,0,1,0,0,0,4
Tohoku Electric Power,энергетика,Краткое упоминание,Средняя,Функциональный,1,0,0,0,0,0,0,0,1,0,1,1,4
Kansai Electric Power,энергетика,Краткое упоминание,Средняя,Функциональный,1,0,0,0,0,0,0,0,1,0,1,0,3
Daigas Group,энергетика,Выделенный раздел,Средняя,Минимальный,1,0,0,0,0,0,0,0,1,0,0,0,2
JERA,энергетика,Выделенный раздел,Средняя,Минимальный,1,0,0,0,0,0,0,0,1,0,0,0,2
,,,,,,,,,,,,,,,,,
ИТОГО,,,,,36,17,6,7,7,4,3,3,30,5,18,5,
% от корпуса,,,,,100,47,17,19,19,11,8,8,83,14,50,14,
