id_документа,компания,индустрия,статус_раздела,качество_доказательств,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,всего_принципов
jp_honda_motor,Honda Motor,автопром,явный раздел,среднее,1,0,0,0,0,0,0,0,1,0,0,0,2
jp_nissan_motor,Nissan Motor,автопром,разрозненные упоминания,среднее,1,0,0,0,0,0,0,0,1,0,1,0,3
jp_suzuki_motor,Suzuki Motor,автопром,разрозненные упоминания,среднее,1,0,0,0,0,0,0,1,0,0,1,0,3
jp_toyota_motor,Toyota Motor,автопром,разрозненные упоминания,среднее,1,1,1,1,1,0,0,0,1,0,0,0,6
jp_mufg_group,MUFG Group,банкинг,явный раздел,высокое,1,1,1,0,0,0,0,0,0,0,0,1,4
jp_sumitomo_mitsui_financial_group,Sumitomo Mitsui Financial Group,банкинг,разрозненные упоминания,среднее,1,1,0,0,0,0,0,0,0,1,0,0,3
jp_sumitomo_mitsui_trust_group,Sumitomo Mitsui Trust Group,банкинг,краткое упоминание,среднее,1,0,0,0,0,0,0,0,1,0,1,1,4
jp_dai_ichi_life_holdings,Dai-ichi Life Holdings,страхование,краткое упоминание,среднее,1,1,0,0,0,0,0,0,0,0,0,0,2
jp_tokio_marine,Tokio Marine,страхование,явный раздел,высокое,1,1,0,0,0,1,0,0,1,0,0,0,4
jp_jgc_holdings,JGC Holdings,строительство,явный раздел,высокое,1,0,0,0,0,1,0,0,1,0,0,0,3
jp_kajima_corporation,Kajima Corporation,строительство,явный раздел,высокое,1,0,0,1,0,0,0,0,1,0,0,0,3
jp_penta_ocean_construction,Penta-Ocean Construction,строительство,краткое упоминание,среднее,1,0,0,0,0,0,0,0,1,0,1,1,4
jp_shimizu_corporation,Shimizu Corporation,строительство,явный раздел,высокое,1,0,0,1,0,0,0,0,1,0,0,0,3
jp_takenaka_corporation,Takenaka Corporation,строительство,разрозненные упоминания,высокое,1,1,0,1,0,0,0,0,1,0,0,0,4
jp_internet_initiative_japan,Internet Initiative Japan,телеком,разрозненные упоминания,среднее,1,0,0,0,0,0,1,1,1,0,1,0,5
jp_ntt_docomo,NTT DOCOMO,телеком,явный раздел,среднее,1,0,0,0,0,0,0,0,1,0,1,0,3
jp_itochu,ITOCHU,торговые дома,краткое упоминание,среднее,1,0,0,0,0,0,0,0,0,0,1,0,2
jp_marubeni_corporation,Marubeni Corporation,торговые дома,явный раздел,высокое,1,1,0,0,1,0,0,0,1,0,0,0,4
jp_mitsui_and_co,Mitsui & Co,торговые дома,явный раздел,среднее,1,0,0,0,0,0,0,0,1,0,1,0,3
jp_sumitomo_corporation,Sumitomo Corporation,торговые дома,явный раздел,высокое,1,1,1,1,1,0,0,0,0,0,0,0,5
jp_japan_airlines,Japan Airlines,транспорт,краткое упоминание,среднее,1,0,0,0,0,0,0,0,1,1,1,0,4
jp_kawasaki_kisen_kaisha,Kawasaki Kisen Kaisha,транспорт,краткое упоминание,среднее,1,1,0,0,0,0,0,0,1,0,1,1,5
jp_mitsui_osk_lines,Mitsui O.S.K. Lines,транспорт,краткое упоминание,среднее,1,0,0,0,0,0,0,0,1,0,1,0,3
jp_yamato_holdings,Yamato Holdings,транспорт,разрозненные упоминания,высокое,1,1,1,0,1,0,0,0,1,0,0,0,5
jp_astellas_pharma_inc,Astellas Pharma Inc,фармацевтика,разрозненные упоминания,высокое,1,1,0,0,1,1,1,0,1,1,1,0,8
jp_daiichi_sankyo_co,Daiichi Sankyo Co,фармацевтика,явный раздел,среднее,1,0,0,0,0,0,0,0,1,0,0,0,2
jp_eisai_co,Eisai Co,фармацевтика,явный раздел,высокое,1,1,0,0,0,0,0,0,1,0,0,0,3
jp_otsuka_holdings_co,Otsuka Holdings Co,фармацевтика,разрозненные упоминания,среднее,1,1,1,0,0,0,0,0,1,0,1,0,5
jp_hitachi_ltd,"Hitachi, Ltd",электроника,явный раздел,высокое,1,1,1,1,1,1,1,1,1,1,1,0,11
jp_nec_corporation,NEC Corporation,электроника,разрозненные упоминания,среднее,1,1,0,0,0,0,0,0,1,0,1,0,4
jp_panasonic,Panasonic,электроника,явный раздел,высокое,1,1,0,1,0,0,0,0,1,0,0,0,4
jp_sony_group,Sony Group,электроника,явный раздел,высокое,1,1,0,0,1,0,0,0,1,1,1,0,6
jp_daigas_group,Daigas Group,энергетика,явный раздел,среднее,1,0,0,0,0,0,0,0,1,0,0,0,2
jp_jera,JERA,энергетика,явный раздел,среднее,1,0,0,0,0,0,0,0,1,0,0,0,2
jp_kansai_electric_power,Kansai Electric Power,энергетика,краткое упоминание,среднее,1,0,0,0,0,0,0,0,1,0,1,0,3
jp_tohoku_electric_power,Tohoku Electric Power,энергетика,краткое упоминание,среднее,1,0,0,0,0,0,0,0,1,0,1,1,4
